Région;Départements;Code commune;Commune;nombre de redevables;patrimoine moyen en €;impôt moyen en €
Alsace;BAS-RHIN;670180;HAGUENAU; 173   ; 1 387 135   ; 4 558   
Alsace;BAS-RHIN;670218;ILLKIRCH GRAFFENSTADEN; 139   ; 1 249 220   ; 3 354   
Alsace;BAS-RHIN;670447;SCHILTIGHEIM; 99   ; 1 490 787   ; 5 397   
Alsace;BAS-RHIN;670482;STRASBOURG; 2 036   ; 1 832 759   ; 8 658   
Alsace;HAUT-RHIN;680066;COLMAR; 302   ; 1 541 242   ; 5 748   
Alsace;HAUT-RHIN;680224;MULHOUSE; 451   ; 1 619 390   ; 6 614   
Aquitaine;DORDOGNE;240037;BERGERAC; 164   ; 1 300 287   ; 3 644   
Aquitaine;DORDOGNE;240322;PERIGUEUX; 164   ; 1 617 395   ; 6 408   
Aquitaine;GIRONDE;330063;BORDEAUX; 2 444   ; 1 599 675   ; 6 337   
Aquitaine;GIRONDE;330192;GRADIGNAN; 120   ; 1 481 086   ; 5 402   
Aquitaine;GIRONDE;330529;LA TESTE DE BUCH; 208   ; 1 420 224   ; 4 715   
Aquitaine;GIRONDE;330069;LE BOUSCAT; 323   ; 1 471 602   ; 4 998   
Aquitaine;GIRONDE;330243;LIBOURNE; 163   ; 1 680 276   ; 6 669   
Aquitaine;GIRONDE;330281;MERIGNAC; 292   ; 1 404 714   ; 5 458   
Aquitaine;GIRONDE;330318;PESSAC; 261   ; 1 404 387   ; 4 832   
Aquitaine;GIRONDE;330449;SAINT-MEDARD-EN-JALLES; 104   ; 1 284 742   ; 3 528   
Aquitaine;GIRONDE;330522;TALENCE; 175   ; 1 344 378   ; 3 926   
Aquitaine;GIRONDE;330550;VILLENAVE-D'ORNON; 97   ; 2 268 456   ; 11 554   
Aquitaine;LANDES;400192;MONT-DE-MARSAN; 129   ; 1 365 134   ; 4 202   
Aquitaine;LOT-ET-GARONNE;470001;AGEN; 170   ; 1 449 580   ; 5 181   
Aquitaine;LOT-ET-GARONNE;470323;VILLENEUVE SUR LOT; 125   ; 1 321 077   ; 3 909   
Aquitaine;PYRENEES-ATLANTIQUES;640024;ANGLET; 387   ; 1 516 249   ; 6 326   
Aquitaine;PYRENEES-ATLANTIQUES;640102;BAYONNE; 264   ; 1 522 676   ; 5 553   
Aquitaine;PYRENEES-ATLANTIQUES;640122;BIARRITZ; 556   ; 1 424 696   ; 4 762   
Aquitaine;PYRENEES-ATLANTIQUES;640445;PAU; 595   ; 1 396 115   ; 4 554   
Auvergne;ALLIER;030185;MONTLUCON; 192   ; 1 423 217   ; 4 738   
Auvergne;ALLIER;030190;MOULINS; 98   ; 1 391 615   ; 4 600   
Auvergne;ALLIER;030310;VICHY; 268   ; 1 308 220   ; 3 860   
Auvergne;CANTAL;150014;AURILLAC; 155   ; 1 413 802   ; 5 044   
Auvergne;HAUTE-LOIRE;430157;LE PUY-EN-VELAY; 98   ; 1 453 589   ; 5 174   
Auvergne;PUY-DE-DOME;630113;CLERMONT-FERRAND; 610   ; 1 532 730   ; 6 249   
Basse-Normandie;CALVADOS;140118;CAEN; 837   ; 1 619 631   ; 6 689   
Basse-Normandie;CALVADOS;140366;LISIEUX; 91   ; 1 520 191   ; 5 733   
Basse-Normandie;MANCHE;500129;CHERBOURG OCTEVILLE; 163   ; 1 438 657   ; 5 139   
Basse-Normandie;MANCHE;500502;SAINT LO; 77   ; 1 452 420   ; 4 820   
Basse-Normandie;ORNE;610001;ALENCON; 103   ; 1 512 453   ; 5 628   
Bourgogne;COTE-D'OR;210054;BEAUNE; 187   ; 1 434 501   ; 4 813   
Bourgogne;COTE-D'OR;210231;DIJON; 991   ; 1 466 550   ; 5 239   
Bourgogne;NIEVRE;580194;NEVERS; 175   ; 1 472 256   ; 4 919   
Bourgogne;SAONE-ET-LOIRE;710076;CHALON SUR SAONE; 210   ; 1 420 463   ; 4 904   
Bourgogne;SAONE-ET-LOIRE;710153;LE CREUSOT; 76   ; 1 200 610   ; 2 954   
Bourgogne;SAONE-ET-LOIRE;710270;MACON; 166   ; 1 715 448   ; 9 521   
Bourgogne;YONNE;890024;AUXERRE; 181   ; 1 286 715   ; 3 704   
Bourgogne;YONNE;890387;SENS; 163   ; 1 466 928   ; 5 066   
Bretagne;COTES-D'ARMOR;220278;SAINT-BRIEUC; 283   ; 1 479 603   ; 5 232   
