Région;Départements;Code commune;Commune;nombre de redevables;patrimoine moyen en €;impôt moyen en €
Ile de France;PARIS;754101;PARIS 01;608;2 034 326;11 634
Ile de France;PARIS;754102;PARIS 02;270;1 427 029;4 687
Ile de France;PARIS;754103;PARIS 03;731;1 835 671;8 921
Ile de France;PARIS;754104;PARIS 04;1 072;2 171 685;12 537
Ile de France;PARIS;758105;PARIS 05;2 117;1 781 595;8 713
Ile de France;PARIS;758106;PARIS 06;3 476;2 279 169;13 445
Ile de France;PARIS;757107;PARIS 07;5 458;2 764 010;18 932
Ile de France;PARIS;756108;PARIS 08;2 863;2 816 558;20 552
Ile de France;PARIS;754109;PARIS 09;1 283;1 636 107;7 289
Ile de France;PARIS;754110;PARIS 10;616;1 449 099;5 107
Ile de France;PARIS;755111;PARIS 11;1 506;1 526 184;6 044
Ile de France;PARIS;755112;PARIS 12;1 951;1 496 461;5 583
Ile de France;PARIS;758113;PARIS 13;1 709;1 443 723;5 215
Ile de France;PARIS;758114;PARIS 14;2 713;1 605 227;6 770
Ile de France;PARIS;757115;PARIS 15;6 132;1 576 390;6 516
Ile de France;PARIS;757116;PARIS 16;14 662;2 512 422;16 430
Ile de France;PARIS;756117;PARIS 17;5 495;1 910 825;9 687
Ile de France;PARIS;756118;PARIS 18;1 158;1 617 406;6 802
Ile de France;PARIS;755119;PARIS 19;911;1 437 145;5 322
Ile de France;PARIS;755120;PARIS 20;956;1 310 999;3 887
Ile de France;SEINE ET MARNE;770108;CHELLES;138;1 231 329;3 270
Ile de France;SEINE ET MARNE;770152;DAMMARIE LES LYS;64;1 310 939;4 157
Ile de France;SEINE ET MARNE;770284;MEAUX;162;1 403 975;4 634
Ile de France;SEINE ET MARNE;770288;MELUN;153;1 449 024;5 592
Ile de France;SEINE ET MARNE;770350;OZOIR LA FERRIERE;73;1 367 118;4 430
Ile de France;SEINE ET MARNE;770373;PONTAULT COMBAULT;73;1 181 791;3 073
Ile de France;YVELINES;780126;LA CELLE ST CLOUD;569;1 682 870;7 834
Ile de France;YVELINES;780146;CHATOU;633;1 542 197;5 991
Ile de France;YVELINES;780158;LE CHESNAY;721;1 497 313;5 811
Ile de France;YVELINES;780172;CONFLANS STE HONORINE;106;1 330 023;4 072
Ile de France;YVELINES;780208;ELANCOURT;63;1 136 410;2 579
Ile de France;YVELINES;780311;HOUILLES;163;1 161 201;2 689
Ile de France;YVELINES;780358;MAISONS-LAFFITTE;590;1 546 479;6 098
Ile de France;YVELINES;780361;MANTES-LA JOLIE;92;1 464 356;5 365
Ile de France;YVELINES;780423;MONTIGNY LE BRETONNEUX;65;1 204 245;3 030
Ile de France;YVELINES;780490;PLAISIR;132;1 325 767;4 151
Ile de France;YVELINES;780498;POISSY;149;1 322 111;4 363
Ile de France;YVELINES;780517;RAMBOUILLET;228;1 376 040;4 686
Ile de France;YVELINES;780551;ST GERMAIN EN LAYE;1 153;1 684 645;7 627
Ile de France;YVELINES;780586;SARTROUVILLE;162;1 345 082;4 847
Ile de France;YVELINES;780640;VELIZY VILLACOUBLAY;106;1 220 232;3 201
Ile de France;YVELINES;780646;VERSAILLES;2 677;1 611 510;6 845
Ile de France;ESSONNE;910027;ATHIS MONS;76;1 342 664;4 477
Ile de France;ESSONNE;910114;BRUNOY;178;1 342 232;4 120
Ile de France;ESSONNE;910174;CORBEIL ESSONNES;83;1 253 857;3 672
Ile de France;ESSONNE;910201;DRAVEIL;119;1 336 334;4 153
Ile de France;ESSONNE;910223;ETAMPES;88;1 457 791;5 121
Ile de France;ESSONNE;910272;GIF SUR YVETTE;366;1 382 494;4 561
Ile de France;ESSONNE;910377;MASSY;78;1 335 857;4 366
Ile de France;ESSONNE;910421;MONTGERON;157;1 375 846;4 830
Ile de France;ESSONNE;910477;PALAISEAU;198;1 778 586;10 925
Ile de France;ESSONNE;910521;RIS ORANGIS;65;1 159 666;2 666
Ile de France;ESSONNE;910549;STE GENEVIEVE DES BOIS;158;1 316 321;3 884
Ile de France;ESSONNE;910570;ST MICHEL SUR ORGE;51;1 260 054;3 497
Ile de France;ESSONNE;910589;SAVIGNY SUR ORGE;152;1 216 664;3 237
Ile de France;ESSONNE;910687;VIRY CHATILLON;64;1 303 691;3 864
Ile de France;ESSONNE;910691;YERRES;125;1 304 067;4 086
Ile de France;HAUTS DE SEINE;921004;ASNIERES;722;1 435 216;5 100
Ile de France;HAUTS DE SEINE;921009;BOIS COLOMBES;287;1 327 926;4 326
Ile de France;HAUTS DE SEINE;921024;CLICHY;134;1 289 988;3 904
Ile de France;HAUTS DE SEINE;921025;COLOMBES;389;1 400 252;4 859
Ile de France;HAUTS DE SEINE;921026;COURBEVOIE;854;1 345 431;4 294
Ile de France;HAUTS DE SEINE;921035;LA GARENNE COLOMBES;241;1 393 961;4 748
Ile de France;HAUTS DE SEINE;921044;LEVALLOIS PERRET;967;1 557 063;6 405
Ile de France;HAUTS DE SEINE;921050;NANTERRE;188;1 358 323;4 253
Ile de France;HAUTS DE SEINE;921051;NEUILLY SUR SEINE;5 891;2 631 938;18 194
Ile de France;HAUTS DE SEINE;921062;PUTEAUX;262;1 483 582;5 918
Ile de France;HAUTS DE SEINE;921063;RUEIL MALMAISON;1 207;1 462 044;5 359
Ile de France;HAUTS DE SEINE;921073;SURESNES;433;1 457 707;5 148
Ile de France;HAUTS DE SEINE;922002;ANTONY;689;1 248 545;3 489
Ile de France;HAUTS DE SEINE;922007;BAGNEUX;83;1 228 338;3 347
Ile de France;HAUTS DE SEINE;922012;BOULOGNE BILLANCOURT;3 177;1 687 115;7 709
Ile de France;HAUTS DE SEINE;922019;CHATENAY-MALABRY;295;1 358 609;4 536
Ile de France;HAUTS DE SEINE;922020;CHATILLON;186;1 264 223;3 615
Ile de France;HAUTS DE SEINE;922023;CLAMART;576;1 362 400;4 513
Ile de France;HAUTS DE SEINE;922032;FONTENAY AUX ROSES;265;1 280 374;3 777
Ile de France;HAUTS DE SEINE;922040;ISSY LES MOULINEAUX;510;1 477 830;5 282
Ile de France;HAUTS DE SEINE;922046;MALAKOFF;100;1 297 236;3 881
Ile de France;HAUTS DE SEINE;922048;MEUDON;945;1 473 358;5 345
Ile de France;HAUTS DE SEINE;922049;MONTROUGE;329;1 579 096;7 330
Ile de France;HAUTS DE SEINE;922060;LE PLESSIS ROBINSON;120;1 462 788;6 937
Ile de France;HAUTS DE SEINE;922064;SAINT CLOUD;1 376;1 992 316;10 487
Ile de France;HAUTS DE SEINE;922072;SEVRES;565;1 685 629;7 078
Ile de France;HAUTS DE SEINE;922075;VANVES;308;1 277 803;3 633
Ile de France;SEINE SAINT DENIS;930001;AUBERVILLIERS;70;1 398 523;4 767
Ile de France;SEINE SAINT DENIS;930005;AULNAY SOUS BOIS;179;1 392 103;4 901
Ile de France;SEINE SAINT DENIS;930029;DRANCY;79;1 296 483;3 767
Ile de France;SEINE SAINT DENIS;930031;EPINAY SUR SEINE;71;1 163 567;2 866
Ile de France;SEINE SAINT DENIS;930032;GAGNY;127;1 372 705;4 935
Ile de France;SEINE SAINT DENIS;930045;LES LILAS;93;1 471 586;5 592
Ile de France;SEINE SAINT DENIS;930046;LIVRY GARGAN;100;1 332 141;4 511
Ile de France;SEINE SAINT DENIS;930047;MONTFERMEIL;63;1 314 901;4 051
Ile de France;SEINE SAINT DENIS;930048;MONTREUIL SOUS BOIS;191;1 330 664;4 110
Ile de France;SEINE SAINT DENIS;930051;NOISY LE GRAND;138;1 260 389;3 601
Ile de France;SEINE SAINT DENIS;930053;NOISY LE SEC;59;1 230 064;3 436
Ile de France;SEINE SAINT DENIS;930055;PANTIN;81;1 264 775;3 540
