Région;Département;Code commune (INSEE);Commune;nombre de redevables;patrimoine moyen en €;impôt moyen en €;;
PACA;BOUCHES-DU-RHONE;13047;ISTRES;130;1 426 659;2 876;;
PACA;BOUCHES-DU-RHONE;13028;LACIOTAT;393;1 464 165;4 254;;
PACA;BOUCHES-DU-RHONE;13054;MARIGNANE;119;1 436 408;3 170;;
PACA;BOUCHES-DU-RHONE;13055;MARSEILLE;6 205;1 721 233;6 633;;
PACA;BOUCHES-DU-RHONE;13056;MARTIGUES;223;1 341 124;3 321;;
PACA;BOUCHES-DU-RHONE;13103;SALON-DE-PROVENCE;303;1 455 617;3 735;;
PACA;BOUCHES-DU-RHONE;13117;VITROLLES;70;1 445 234;4 127;;
PACA;HAUTES-ALPES;05061;GAP;363;1 521 444;4 465;;
PACA;VAR;83050;DRAGUIGNAN;420;1 435 374;3 789;;
PACA;VAR;83061;FREJUS;389;1 519 260;4 725;;
PACA;VAR;83069;HYERES;1 051;1 451 130;4 185;;
PACA;VAR;83062;LAGARDE;200;1 507 987;4 166;;
PACA;VAR;83126;LASEYNE-SUR-MER;302;1 315 318;3 155;;
PACA;VAR;83144;LAVALETTE-DU-VAR;180;1 377 116;3 590;;
PACA;VAR;83118;SAINT-RAPHAEL;968;1 513 696;4 455;;
PACA;VAR;83129;SIX-FOURS-LES-PLAGES;502;1 394 003;3 690;;
PACA;VAR;83137;TOULON;1 382;1 447 838;4 466;;
PACA;VAUCLUSE;84007;AVIGNON;612;1 671 275;6 150;;
PACA;VAUCLUSE;84031;CARPENTRAS;226;1 612 700;5 026;;
PACA;VAUCLUSE;84035;CAVAILLON;192;1 442 163;3 374;;
PACA;VAUCLUSE;84087;ORANGE;176;1 490 993;4 198;;
Réunion;REUNION;97408;LAPOSSESSION;78;1 661 209;4 758;;
Réunion;REUNION;97422;LETAMPON;181;1 596 520;4 954;;
Réunion;REUNION;97409;SAINT-ANDRE;68;1 609 395;5 185;;
Réunion;REUNION;97411;SAINT-DENIS;715;1 636 950;4 983;;
Réunion;REUNION;97414;SAINT-LOUIS;53;1 775 807;5 078;;
Réunion;REUNION;97415;SAINT-PAUL;381;1 649 996;4 872;;
Réunion;REUNION;97416;SAINT-PIERRE;186;1 650 889;4 821;;
Réunion;REUNION;97418;SAINTE-MARIE;98;1 622 811;5 123;;
Rhône-Alpes;AIN;01053;BOURG-EN-BRESSE;322;1 496 602;4 536;;
Rhône-Alpes;AIN;01283;OYONNAX;175;1 993 496;8 374;;
Rhône-Alpes;DROME;26198;MONTELIMAR;272;1 607 338;4 697;;
Rhône-Alpes;DROME;26281;ROMANS-SUR-ISERE;184;1 524 270;4 404;;
Rhône-Alpes;DROME;26362;VALENCE;501;1 560 078;4 818;;
Rhône-Alpes;HAUTE-SAVOIE;74010;ANNECY;910;1 561 077;5 586;;
Rhône-Alpes;HAUTE-SAVOIE;74012;ANNEMASSE;234;1 347 422;3 250;;
Rhône-Alpes;HAUTE-SAVOIE;74281;THONON-LES-BAINS;411;1 723 223;6 660;;
Rhône-Alpes;ISERE;38053;BOURGOIN-JALLIEU;153;1 562 057;5 309;;
Rhône-Alpes;ISERE;38151;ECHIROLLES;112;1 226 623;2 487;;
Rhône-Alpes;ISERE;38185;GRENOBLE;1 497;1 589 803;5 376;;
Rhône-Alpes;ISERE;38421;SAINT-MARTIN-D'HERES;82;1 490 926;4 223;;
Rhône-Alpes;ISERE;38544;VIENNE;236;1 520 240;4 312;;
Rhône-Alpes;ISERE;38563;VOIRON;204;1 538 929;4 840;;
Rhône-Alpes;LOIRE;42187;ROANNE;190;1 566 119;4 837;;
Rhône-Alpes;LOIRE;42207;SAINT-CHAMOND;155;1 698 732;6 436;;
Rhône-Alpes;LOIRE;42218;SAINT-ETIENNE;1 038;1 716 373;6 570;;
Rhône-Alpes;RHONE;69029;BRON;325;1 462 777;3 760;;
Rhône-Alpes;RHONE;69034;CALUIRE-ET-CUIRE;928;1 694 923;5 637;;
Rhône-Alpes;RHONE;69275;DECINES-CHARPIEU;97;1 358 960;3 714;;
Rhône-Alpes;RHONE;69123;LYON;7 088;1 759 539;6 461;;
Rhône-Alpes;RHONE;69282;MEYZIEU;162;1 641 272;6 075;;
Rhône-Alpes;RHONE;69149;OULLINS;142;1 437 531;4 460;;
Rhône-Alpes;RHONE;69286;RILLIEUX-LA-PAPE;171;1 600 750;4 411;;
Rhône-Alpes;RHONE;69290;SAINT-PRIEST;139;1 664 760;6 628;;
Rhône-Alpes;RHONE;69202;SAINTE-FOY-LES-LYON;646;1 683 315;5 758;;
Rhône-Alpes;RHONE;69259;VENISSIEUX;65;1 581 701;5 066;;
Rhône-Alpes;RHONE;69264;VILLEFRANCHE-SUR-SAONE;197;1 579 698;4 560;;
Rhône-Alpes;RHONE;69266;VILLEURBANNE;546;1 434 470;3 965;;
Rhône-Alpes;SAVOIE;73008;AIX-LES-BAINS;397;1 436 680;4 041;;
Rhône-Alpes;SAVOIE;73065;CHAMBERY;714;1 565 060;5 364;;
